date,region,product,utilisation,forecast_weekly,forecast_monthly
2026-01-01,North,Mini Excavator,0.24102034514464193,0.23379413943122046,0.23934315845876417
2026-01-01,North,Skid Steer Loader,0.2143262488590845,0.24315365729393235,0.22771387577446664
2026-01-01,North,Telehandler,0.19394820416979403,0.196489191397356,0.21363421755098377
2026-01-01,North,Dump Truck,0.20518240816580693,0.19979491067365898,0.17560552751481934
2026-01-01,North,Concrete Mixer,0.1425318309516081,0.15803145930674276,0.16000629026134466
2026-01-01,South,Mini Excavator,0.29136825449442355,0.3193417419707627,0.31932488504345463
2026-01-01,South,Skid Steer Loader,0.29480646260065335,0.2795392446370949,0.2929998097140233
2026-01-01,South,Telehandler,0.2582223328441995,0.25406783429978536,0.2809702836776747
2026-01-01,South,Dump Truck,0.25779060233965634,0.23860848158502104,0.2589504124584211
2026-01-01,South,Concrete Mixer,0.2658422327186613,0.2599452132582588,0.2493371792209378
2026-01-01,East,Mini Excavator,0.2629887695516951,0.2434819004632229,0.27127237458319403
2026-01-01,East,Skid Steer Loader,0.2708164055468327,0.28031564456770725,0.2531729351765076
2026-01-01,East,Telehandler,0.24003626446320966,0.2840279508408382,0.22186103742114224
2026-01-01,East,Dump Truck,0.21076499936907458,0.22785322004875677,0.21294017651259925
2026-01-01,East,Concrete Mixer,0.20656508808424465,0.18686289867380373,0.21016467853066556
2026-01-01,West,Mini Excavator,0.28196745005739093,0.2598801126392791,0.2831370801393945
2026-01-01,West,Skid Steer Loader,0.2518025785046628,0.2814052633238162,0.2592697820532758
2026-01-01,West,Telehandler,0.24482432691400804,0.23908434674647877,0.24232590452405145
2026-01-01,West,Dump Truck,0.2266878475827715,0.22303276403369762,0.21654898433140815
2026-01-01,West,Concrete Mixer,0.22065062963416038,0.2134716590143732,0.20266693729657975
2026-01-02,North,Mini Excavator,0.2282574761705238,0.23379413943122046,0.23934315845876417
2026-01-02,North,Skid Steer Loader,0.2311627664029439,0.24315365729393235,0.22771387577446664
